Merge Sort - 10,Quick Sort - 10,Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000
1.67524ms,123.138µs,1.152193ms,133.596µs,859.761µs,113.072µs
176.046µs,119.934µs,148.878µs,139.957µs,167.161µs,112.811µs
136.999µs,138.508µs,123.503µs,152.134µs,142.172µs,113.721µs
192.075µs,133.053µs,141.58µs,120.71µs,133.957µs,118.045µs
139.582µs,119.324µs,145.296µs,139.83µs,156.617µs,110.51µs
110.575µs,162.219µs,143.297µs,144.453µs,141.536µs,112.878µs
116.016µs,131.639µs,175.227µs,141.589µs,146.457µs,109.264µs
141.08µs,102.763µs,135.008µs,128.67µs,146.2µs,95.49µs
119.348µs,129.199µs,156.029µs,148.613µs,157.35µs,110.689µs
108.1µs,140.221µs,142.277µs,136.694µs,164.056µs,118.337µs
,,150.371µs,130.29µs,148.557µs,117.745µs
,,133.47µs,130.615µs,176.607µs,116.516µs
,,157.502µs,148.266µs,145.557µs,115.542µs
,,141.116µs,150.383µs,136.764µs,132.017µs
,,150.726µs,124.783µs,168.675µs,129.553µs
,,142.797µs,144.061µs,138.385µs,135.433µs
,,151.729µs,128.92µs,142.832µs,138.438µs
,,130.59µs,242.046µs,146.102µs,130.025µs
,,261.217µs,203.831µs,136.216µs,131.432µs
,,151.495µs,148.508µs,137.118µs,149.908µs
,,210.201µs,508.01µs,174.524µs,147.92µs
,,134.344µs,162.996µs,122.114µs,160.637µs
,,128.931µs,156.392µs,138.124µs,163.575µs
,,146.319µs,171.188µs,144.804µs,154.256µs
,,115.143µs,145.111µs,144.574µs,141.273µs
,,171.756µs,156.585µs,128.828µs,165.229µs
,,135.409µs,178.331µs,122.236µs,152.839µs
,,157.417µs,246.607µs,129.149µs,177.964µs
,,145.764µs,198.469µs,164.883µs,178.859µs
,,147.416µs,231.022µs,136.949µs,163.145µs
,,148.5µs,144.739µs,127.97µs,190.12µs
,,138.796µs,163.938µs,113.091µs,213.244µs
,,153.585µs,172.779µs,108.448µs,227.251µs
,,136.006µs,188.6µs,132.941µs,10.988238ms
,,145.988µs,199.064µs,115.394µs,347.779µs
,,138.097µs,175.143µs,109.444µs,463.255µs
,,143.571µs,176.784µs,114.999µs,1.387168ms
