Merge Sort - 100,Quick Sort - 100,Merge Sort Async - 100,Quick Sort Async - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort Async - 1000,Quick Sort Async - 1000,Merge Sort - 10000,Quick Sort - 10000,Merge Sort Async - 10000,Quick Sort Async - 10000
222.86575ms,120.875µs,258.292µs,523.125µs,218.548416ms,74.833µs,87.125µs,96µs,220.526458ms,44.417µs,81.333µs,75.709µs
230.375µs,107.458µs,238.042µs,313.958µs,199.459µs,94.584µs,92.208µs,77.333µs,280.958µs,50.334µs,52.042µs,86.333µs
197.584µs,173.084µs,250.375µs,97.5µs,177.041µs,101.291µs,95µs,80.916µs,252.042µs,44.291µs,54.959µs,80.625µs
155.083µs,149.834µs,183.292µs,89.375µs,150.625µs,87.5µs,118.5µs,102.416µs,232.667µs,52.833µs,52.541µs,68.667µs
166.416µs,115.208µs,160.958µs,131.916µs,188.042µs,77.375µs,98.792µs,63.375µs,265.5µs,50µs,43.75µs,56.5µs
148.958µs,113.667µs,137.375µs,95.291µs,181.292µs,79.792µs,111.417µs,123.584µs,299.292µs,53.291µs,61.125µs,46.167µs
135.917µs,95.75µs,185.833µs,153.709µs,229.375µs,74.291µs,87.333µs,95.709µs,186.167µs,46.625µs,51.292µs,55.917µs
135.959µs,104.167µs,121.292µs,78.75µs,461.875µs,74.167µs,95.75µs,91.208µs,188.75µs,60.75µs,56.792µs,56.875µs
147.417µs,135.375µs,183.459µs,87.792µs,161.291µs,83.125µs,84.417µs,74.583µs,140.708µs,61.209µs,57.334µs,37.834µs
139.25µs,98.792µs,164.75µs,84.5µs,568.042µs,65.5µs,81.25µs,112.75µs,168.583µs,54.417µs,50.958µs,56.833µs
116.834µs,99.542µs,159µs,115.334µs,138.083µs,73.583µs,116.625µs,65.416µs,147.833µs,47.125µs,62.5µs,53.458µs
141.375µs,105.459µs,148.792µs,105.458µs,120.75µs,79.25µs,93.042µs,116.292µs,163.25µs,46.208µs,61µs,60.333µs
119.875µs,157.583µs,141.458µs,108.333µs,155.833µs,79.167µs,125.166µs,74.875µs,160.25µs,36.125µs,48.791µs,60.625µs
138.833µs,126.916µs,146.292µs,146.916µs,114.917µs,103.125µs,84.375µs,78.292µs,150.75µs,47.416µs,68.416µs,52.958µs
108.125µs,83.792µs,132.125µs,103.083µs,139.709µs,74.458µs,102.375µs,115.25µs,147.5µs,48.916µs,59.458µs,52.042µs
99.916µs,154.792µs,226µs,86.792µs,122.583µs,93.417µs,76.334µs,82.542µs,120.625µs,59.916µs,52.416µs,88.5µs
146.708µs,97.25µs,143.333µs,87.75µs,126.917µs,71.708µs,81.792µs,85µs,158.875µs,85.125µs,48.917µs,56.375µs
119.208µs,186.583µs,134.5µs,157.833µs,117.083µs,76.875µs,82.375µs,76.25µs,160.416µs,93.167µs,55µs,51.708µs
123.917µs,91.708µs,228.708µs,105.459µs,120.25µs,73.292µs,77.625µs,90.625µs,142.708µs,78.375µs,55.542µs,54.167µs
97.958µs,104.208µs,129.834µs,86.25µs,147.458µs,77.792µs,95.875µs,81.083µs,146µs,72.625µs,60.334µs,91.625µs
104.916µs,80.916µs,148.791µs,77.875µs,123.25µs,84.916µs,101.583µs,90.459µs,147.167µs,48.459µs,226.792µs,75µs
101.209µs,99.417µs,139.958µs,91.292µs,121µs,74.5µs,99.75µs,70.667µs,224.583µs,43.958µs,148.25µs,89.334µs
104.708µs,116.208µs,148.583µs,97.542µs,119.375µs,93.625µs,61.75µs,105.5µs,149.208µs,42.208µs,229.209µs,77.791µs
142µs,140µs,131µs,115.25µs,116.917µs,61.75µs,89.333µs,77.333µs,118.917µs,53.625µs,106.667µs,49.042µs
120.5µs,94.542µs,126µs,95.667µs,120.708µs,60.709µs,110.542µs,71.708µs,137.292µs,59.459µs,142.625µs,57.667µs
98.042µs,102.5µs,221.125µs,102.666µs,134.042µs,50.416µs,90.875µs,121.625µs,234.458µs,64.333µs,136.625µs,54.958µs
87.667µs,69.667µs,251.084µs,111.708µs,141.625µs,53.084µs,112.375µs,87µs,210.958µs,52.958µs,87.292µs,58.542µs
115µs,124.25µs,153.583µs,74.209µs,136.334µs,39.75µs,114.833µs,105.5µs,147.833µs,46.167µs,86.542µs,51.666µs
391.959µs,110.958µs,125.875µs,83.792µs,131.167µs,57.5µs,85.584µs,108.875µs,166.958µs,45.458µs,111.708µs,50.209µs
358.583µs,113.417µs,131.542µs,86.083µs,136.083µs,54.333µs,80.167µs,112.417µs,133.833µs,50.584µs,71.167µs,48.333µs
273.584µs,92.958µs,316.459µs,110.333µs,118.084µs,48.125µs,87.458µs,86.084µs,239.667µs,51.166µs,104.833µs,54.333µs
301.75µs,89.958µs,142.75µs,89.625µs,149.208µs,51.833µs,98.875µs,124.625µs,179.791µs,90.125µs,97.25µs,49.458µs
265.125µs,94.583µs,146.667µs,186.959µs,161.958µs,53.416µs,122.042µs,120.833µs,147.084µs,42.709µs,90.458µs,41.875µs
375.375µs,117.875µs,137.791µs,94.666µs,123.417µs,45.042µs,120.416µs,91.208µs,147.958µs,67µs,80.541µs,65.375µs
344.292µs,98.25µs,142.666µs,77.833µs,106.584µs,48.834µs,85.042µs,102.625µs,147.125µs,52.875µs,104.958µs,52.292µs
274.166µs,108.041µs,115.625µs,110.291µs,121.083µs,56.708µs,105.042µs,97.333µs,132.208µs,46.042µs,113.833µs,49.125µs
296µs,104µs,154.875µs,89.125µs,126.209µs,49.083µs,156.917µs,81.375µs,346.792µs,46.791µs,341.959µs,64.167µs
268.209µs,100.166µs,144.583µs,95.542µs,143.25µs,43.292µs,125.916µs,96.792µs,209.75µs,49.417µs,144.5µs,45.959µs
250.791µs,72.5µs,205.75µs,99.208µs,114.75µs,42.833µs,109.75µs,81.167µs,283.25µs,64.209µs,104.542µs,57.25µs
299.416µs,82.584µs,88.916µs,116.334µs,129.375µs,43.458µs,115.459µs,73.5µs,240.166µs,45.833µs,91.5µs,47.834µs
284.5µs,82.5µs,156.833µs,90.75µs,112.291µs,45.125µs,107.333µs,105.792µs,270µs,50.625µs,77.5µs,93.042µs
281.542µs,60.541µs,144.792µs,83.875µs,132.208µs,51.791µs,76.875µs,79.75µs,232.75µs,53.125µs,90.667µs,49.917µs
237.75µs,90.875µs,149.625µs,85µs,165.334µs,44.625µs,99.125µs,98.125µs,333.583µs,56.084µs,94.791µs,50.25µs
261.041µs,112.333µs,143.459µs,106.583µs,210.209µs,40.25µs,92.375µs,95.958µs,265.333µs,47.708µs,104.333µs,54.666µs
227.125µs,107.791µs,144.042µs,66.416µs,375.125µs,42.083µs,100.5µs,101.583µs,275.959µs,45.792µs,104.958µs,219.292µs
196.625µs,100.417µs,172.375µs,53.458µs,347.667µs,46µs,96.625µs,81.333µs,231.792µs,51.041µs,134.292µs,62µs
217µs,136.583µs,231.75µs,75.333µs,397.791µs,42.917µs,97µs,102µs,363.333µs,62.542µs,113.542µs,68.541µs
271.167µs,108.584µs,101.667µs,53.292µs,264.334µs,46µs,111.042µs,81.75µs,221.167µs,43.25µs,155.833µs,66µs
293.916µs,167.542µs,146.292µs,54.334µs,242.875µs,52.25µs,84.958µs,77.417µs,171.417µs,36.833µs,100.333µs,52.166µs
241.583µs,97.375µs,131.042µs,47.875µs,426.75µs,49.875µs,95.25µs,87.75µs,243.125µs,41.917µs,108.709µs,93.75µs
262.209µs,112µs,191.792µs,62.917µs,206.583µs,53.458µs,89.584µs,87.834µs,178.959µs,46.541µs,112.583µs,79.667µs
184.375µs,85.125µs,144.125µs,75.083µs,374.041µs,51.209µs,134.5µs,94.959µs,168.833µs,41.333µs,86.834µs,47.125µs
223.167µs,79.666µs,203.875µs,42.834µs,197.083µs,56.084µs,93.334µs,94.792µs,219.958µs,52.333µs,85.959µs,58.292µs
205.375µs,76.625µs,196.084µs,73.916µs,240.5µs,52.292µs,116.459µs,74.917µs,181.209µs,50.959µs,80.375µs,58.167µs
269.125µs,99.458µs,160.5µs,60.75µs,272.667µs,34.958µs,114.667µs,64.5µs,225.208µs,45.125µs,97.875µs,41.5µs
173.958µs,89.833µs,126.291µs,78.542µs,200.666µs,47.5µs,82.625µs,97.041µs,196.541µs,43.625µs,88.708µs,60.041µs
194.25µs,76.5µs,111.834µs,57.375µs,211.708µs,42.25µs,97.833µs,77.416µs,170.625µs,46.5µs,101.958µs,59.417µs
220.208µs,92.125µs,141.167µs,53.459µs,259.542µs,40.125µs,81.958µs,81.584µs,139.667µs,40.75µs,80.375µs,50.042µs
192µs,84.834µs,170.917µs,56.166µs,177.916µs,57.291µs,106.458µs,105.291µs,183µs,38.625µs,102.709µs,52µs
223.792µs,98.417µs,216.542µs,76.958µs,298.75µs,46.791µs,91.75µs,99µs,166.666µs,49.5µs,94.792µs,43.667µs
